|trigger_name|name        |error_radius|time                   |end_time               |trigger_time           |trigger_type|geo_long|geo_lat |localization_source|
|bn220127042 |TGF220127042|     27.1833|2022-01-27 00:58:31.541|2022-01-27 01:08:45.952|2022-01-27 01:00:45.047|TGF         |138.5500|-19.9333|Fermi, GBM FSW     |
|bn220125548 |TGF220125548|     25.9333|2022-01-25 13:07:07.184|2022-01-25 13:17:21.595|2022-01-25 13:09:22.258|TGF         |102.5000|  1.7000|Fermi, GBM FSW     |
|bn220120365 |TGF220120365|     30.6167|2022-01-20 08:43:27.279|2022-01-20 08:53:33.498|2022-01-20 08:45:38.849|TGF         | 21.2167|  1.8833|Fermi, GBM FSW     |
|bn220118526 |TGF220118526|     26.7000|2022-01-18 12:34:50.958|2022-01-18 12:45:05.369|2022-01-18 12:37:07.793|TGF         | 23.3500|-17.7500|Fermi, GBM FSW     |
|bn220118477 |TGF220118477|     22.8000|2022-01-18 11:24:50.001|2022-01-18 11:35:04.413|2022-01-18 11:27:05.412|TGF         |141.9667|-16.3000|Fermi, GBM FSW     |
|bn220108685 |TGF220108685|     26.5667|2022-01-08 16:24:18.736|2022-01-08 16:34:33.150|2022-01-08 16:26:37.891|TGF         | 15.2667| -6.8167|Fermi, GBM FSW     |
|bn220105805 |TGF220105805|     28.3167|2022-01-05 19:16:41.822|2022-01-05 19:26:56.236|2022-01-05 19:18:59.825|TGF         |129.8000|-13.5667|Fermi, GBM FSW     |
|bn211223374 |TGF211223374|     26.8500|2021-12-23 08:56:48.913|2021-12-23 09:07:03.324|2021-12-23 08:59:05.668|TGF         |221.9500|  8.4667|Fermi, GBM FSW     |
|bn211220171 |TGF211220171|     34.7333|2021-12-20 04:04:24.819|2021-12-20 04:14:39.229|2021-12-20 04:06:38.453|TGF         |132.0000|-11.9500|Fermi, GBM FSW     |
|bn211219513 |TGF211219513|     14.9000|2021-12-19 12:16:26.243|2021-12-19 12:26:40.654|2021-12-19 12:18:42.757|TGF         | 23.3500| -8.0000|Fermi, GBM FSW     |
|bn211214366 |TGF211214366|     31.3667|2021-12-14 08:44:07.028|2021-12-14 08:54:21.440|2021-12-14 08:46:24.375|TGF         |123.4167| -4.9167|Fermi, GBM FSW     |
|bn211201765 |TGF211201765|     21.9667|2021-12-01 18:19:14.485|2021-12-01 18:29:28.897|2021-12-01 18:21:31.096|TGF         |114.8500| 12.2000|Fermi, GBM FSW     |
|bn211121129 |TGF211121129|     35.1833|2021-11-21 03:02:53.698|2021-11-21 03:13:08.112|2021-11-21 03:05:06.149|TGF         | 24.3833| -7.3167|Fermi, GBM         |
|bn211113838 |TGF211113838|     28.8500|2021-11-13 20:04:27.655|2021-11-13 20:14:42.068|2021-11-13 20:06:45.050|TGF         | 24.3833| -1.4500|Fermi, GBM         |
|bn211111667 |TGF211111667|     29.0500|2021-11-11 15:57:53.208|2021-11-11 16:08:07.619|2021-11-11 16:00:08.411|TGF         |139.3833|-16.8500|Fermi, GBM         |
|bn211106744 |TGF211106744|     34.6833|2021-11-06 17:48:47.458|2021-11-06 17:59:01.869|2021-11-06 17:51:03.541|TGF         |303.5833|  6.0500|Fermi, GBM         |
|bn211106362 |TGF211106362|     26.0333|2021-11-06 08:39:07.311|2021-11-06 08:42:23.923|2021-11-06 08:41:21.585|TGF         |163.9000| 25.4167|Fermi, GBM FSW     |
|bn211105790 |TGF211105790|     21.5333|2021-11-05 18:55:19.235|2021-11-05 19:05:33.645|2021-11-05 18:57:33.173|TGF         |131.8000|-13.4667|Fermi, GBM FSW     |
|bn211103240 |TGF211103240|     28.9000|2021-11-03 05:42:39.228|2021-11-03 05:52:53.639|2021-11-03 05:44:57.854|TGF         |124.7833| -6.9667|Fermi, GBM FSW     |
|bn211029845 |TGF211029845|     26.0000|2021-10-29 20:14:05.678|2021-10-29 20:24:20.088|2021-10-29 20:16:20.272|TGF         | 95.4500| 17.2667|Fermi, GBM FSW     |
|bn211029244 |TGF211029244|     26.4000|2021-10-29 05:48:36.455|2021-10-29 05:58:42.673|2021-10-29 05:50:47.529|TGF         |276.5667| 25.1667|Fermi, GBM FSW     |
|bn211026787 |TGF211026787|     29.5333|2021-10-26 18:51:15.375|2021-10-26 19:01:29.786|2021-10-26 18:53:31.202|TGF         | 20.8833|  9.2667|Fermi, GBM FSW     |
|bn211020409 |TGF211020409|     34.9333|2021-10-20 09:46:37.533|2021-10-20 09:56:51.943|2021-10-20 09:48:49.791|TGF         |347.1167|  9.1500|Fermi, GBM FSW     |
|bn211019653 |TGF211019653|     50.0000|2021-10-19 15:37:57.215|2021-10-19 15:48:11.626|2021-10-19 15:40:09.617|TGF         |100.9000| -1.9000|Fermi, GBM         |
|bn211011761 |TGF211011761|     50.0000|2021-10-11 18:13:41.877|2021-10-11 18:21:20.638|2021-10-11 18:15:57.447|TGF         |287.6333|  9.2000|Fermi, GBM         |
|bn211006877 |TGF211006877|     90.0000|2021-10-06 21:00:28.328|2021-10-06 21:07:09.744|2021-10-06 21:02:42.123|TGF         |288.3000|  7.2333|Fermi, GBM         |
|bn211004943 |TGF211004943|     21.3500|2021-10-04 22:35:41.086|2021-10-04 22:45:55.498|2021-10-04 22:37:53.536|TGF         |168.6333| 21.2000|Fermi, GBM         |
|bn211003572 |TGF211003572|     28.7833|2021-10-03 13:41:50.193|2021-10-03 13:52:04.606|2021-10-03 13:44:03.348|TGF         | 43.7667| 15.4833|Fermi, GBM FSW     |
|bn211002782 |TGF211002782|     34.6333|2021-10-02 18:44:12.505|2021-10-02 18:54:26.918|2021-10-02 18:46:26.220|TGF         |345.5000| 11.0500|Fermi, GBM FSW     |
|bn211001794 |TGF211001794|     34.9333|2021-10-01 19:00:49.486|2021-10-01 19:11:03.898|2021-10-01 19:03:02.129|TGF         |357.9167|  7.1333|Fermi, GBM         |
|bn210930394 |TGF210930394|     90.0000|2021-09-30 09:24:58.023|2021-09-30 09:35:04.242|2021-09-30 09:27:09.705|TGF         | 76.7667| 25.6333|Fermi, GBM         |
|bn210923493 |TGF210923493|     11.8333|2021-09-23 11:47:21.170|2021-09-23 11:52:24.279|2021-09-23 11:49:36.820|TGF         |259.4500|-24.6167|Fermi, GBM         |
|bn210921872 |TGF210921872|     90.0000|2021-09-21 20:53:25.051|2021-09-21 21:03:39.462|2021-09-21 20:55:41.517|TGF         |295.9833| 21.0833|Fermi, LAT         |
|bn210920238 |TGF210920238|     35.4833|2021-09-20 05:40:44.379|2021-09-20 05:43:58.943|2021-09-20 05:42:57.086|TGF         |272.2500| 13.7500|Fermi, GBM FSW     |
